Respondent,,React,Spring,.NET Core,Django,Cordova,Angular,Hadoop,Node.js,TensorFlow,Torch/PyTorch,Xamarin,Spark
98,,,,,,,,,,,,,
101,,,,,,,,,,,,,
103,,,,,,1,,,1,,,,
105,,,,,,,,,,,,,
106,,,,,,,,,,,,,
107,,,,,,1,1,,1,,,,
111,,,,,,,,,,,,,
112,,,,,,,,,1,,,,
113,,,,1,,,,,1,,,,
117,,1,1,,,,,,,,,,
118,,,,,,,,,,,,,
119,,,,,1,,,,,,,,
120,,,,,,,,,,,,,
122,,1,,,,,,,,,,,
123,,,,,,,,,,,,,
124,,1,,,,1,1,,1,,,,
125,,,,,,,,,,,,,
126,,,,,,1,,,1,,,1,
127,,,,,,,1,,1,,,,
129,,,,,,,,,,,,,
131,,,,,,,,,,,,,
132,,,,,,,,,,,,,
133,,,,,,,,,,,,,
134,,,,,1,,,,,,,,
135,,,,,1,,,1,,,,,
136,,,,,,,,,,,,,
137,,,,,,,,,,,,,
138,,,,,,,,,,,,,
140,,,1,,,,,,1,,,,
141,,1,,,,,,,,,,,
142,,,,,,,,,,,,,
143,,,,,,,,,,,,,
146,,,,,,,,,,,,,
148,,1,,,,,,,1,,,,
149,,,,,,,,,,,,,
150,,,,,,,,,,,,,
151,,1,,,,,,,,,,,
152,,,,,1,,,,,,,,
153,,,1,,,,,,,,,,
155,,,,,,,,,,,,,
156,,,,,,,,,,,,,
157,,1,,1,,1,1,,1,1,,1,
158,,,,,,,,,,,,,
160,,,,,,,,,,,,,
161,,1,,,1,,,,,,,,
162,,,,,,,,,,,,,
163,,1,,1,,,1,,,,,,
164,,,,,,,,,,,,,
167,,1,,,,,,,,1,,,
168,,,,1,,,1,,1,,,,
169,,,,1,,,,,,1,,,
170,,,,,,,1,,,,,,
175,,,,,,,1,,,,,,
177,,,,,,,,,,,,,
179,,,,,,,,,,,,,
181,,,,,,,,,,,,,
182,,,,,,,,,,,,,1
184,,,,,1,,,,,,,,
186,,,,1,,,,,1,,,,
187,,,1,,,,,1,,,,,1
188,,1,,,,,,,1,,,,
189,,,,1,,,1,,,,,,
192,,,1,,,,1,,,,,,
194,,,1,,,,,,1,,,,
195,,,,,1,,,,,1,,,
196,,,,,,,1,,1,,,,
198,,,,,,,,,,,,,
201,,1,,,,,,,1,,,,
202,,,,,,,,,,,,,
206,,,,1,,,,,,,,1,
211,,,,,,,,,,,,,
212,,,,,,,,,,,,,
213,,,,,,1,,,,,,,
214,,,,,,,,,,,,,
216,,,,1,,,,,1,,,,
217,,1,,,1,,,,,,,,
218,,1,,,,,,,,1,,,
219,,,,,,,1,,,,,,
222,,,,1,,1,1,,1,,,,
226,,,,1,,,1,,,,,,
228,,,,,,1,,,,,,,
230,,,,,,,,,,,,,
231,,1,,,,,1,,,,,,
233,,1,,,,,,,,,,,
234,,,,1,,1,1,,1,,,,
236,,,,,,,,,,,,,
237,,1,,,,,,,1,,,,
240,,,,,,,,,,,,,
242,,,,,,,1,,,,,,
243,,,,,,,,,,,,,
244,,,,1,,,,,,,,,
245,,,,1,,,1,,,,,,
246,,,,1,,,,,1,,,,
247,,,,1,,,,,1,,,,
248,,,1,,,,,,,,,,
249,,1,,,,1,,,1,,,,
250,,,,,,,,,,,,,
251,,,,,,1,1,,,,,,
253,,,,,,,,,,,,,
254,,,,,,,,,,,,,
255,,,,,,1,1,,1,,,,
256,,,,,,,,1,,,,,1
257,,,,1,,,,,,,,1,
260,,,1,,,,,,,,,,
261,,,,,,,,,,,,,
263,,,,,,,,,,,,,
264,,,,,,,,,,,,,
265,,,,,,,,,,,,,
266,,,,,,,,,1,,,,
267,,,,,,,,,,,,,
270,,1,,,,,,,1,,,,
271,,,,,1,,,,,1,,,1
272,,,,,,,,,1,1,,,
274,,,,,,,,,,,,,
278,,,,,,,,1,,,,,1
279,,,,,,,,,,,,,
280,,,,1,,,,,,,,,
282,,1,,,,1,,,,,,1,
283,,1,,,1,,1,,,,,,
284,,,,1,,,,,,,,,
285,,,,,,,,,1,,,,
286,,,,1,,,1,,,,,1,
287,,,,,,,,,,,,,
289,,,1,,,,1,,,,,,
291,,,,,1,,,,,,,,
293,,,,,,,,,,,,,
294,,,,,,,,,,,,,
295,,1,,1,,,1,,1,,,,
296,,,,,,,,,,,,,
297,,,,,,,,,,,,,
298,,1,,,,,,,1,,,,
299,,1,,,,,,,,,,,
302,,1,,,,,,,1,,,,
303,,,,,,,,,,,,,
304,,,,,,,,,,,,,
305,,,,,,,,,,,,,
306,,,,,,,,,,,,,
307,,,,1,,,,,,,,,
308,,,,,,,1,,1,,,,
310,,,,,,,,,,,,,
313,,,,,,,,,,,,,
315,,1,,,,1,,,1,,,,
316,,,,,,,,,,,,,
317,,,,,,,1,,1,,,,
318,,,,,,,1,,1,,,,
319,,,,1,,,,,,,,1,
320,,1,,,,,,1,1,,,,1
321,,,,,,,1,,,,,,
323,,1,,,,,,,,,,,
324,,,,1,,,,,,,,,
325,,,,,,,,,,,,,
327,,,,1,,,,,1,,,,
328,,1,,,,,1,,,,,,
330,,,,,,,,,,,,,
332,,,,,,,,,,,,,
333,,,,,,,,,,,,,
334,,,,,,,,,,,,,
337,,,,,,,,,,,,,
338,,,1,,,,1,,1,,,,
340,,1,,,1,1,,,1,,,,
342,,,,,,,,,,,,,
343,,,,1,,,1,,1,,,,
344,,1,1,1,,,1,,1,,,,
345,,,,1,1,,,,1,,1,,
346,,,,,,,,,,,,,
348,,,,,,,,,,,,,
350,,,,1,,,,,,,,,
351,,1,1,1,,,,,,,,,
352,,,,1,,,1,,1,1,,,
354,,,,,,,,,,,,,
355,,,,,,,,,,,,,
357,,,,,,,1,,1,,,,
359,,,,,,,,,,,,,
360,,,,,1,,,,1,,,,
361,,,,,,,,,,,,,
362,,,,,,,,,1,,,,
363,,1,,,,,1,,1,,,,
364,,,,,,,,,1,,,,
365,,,,,,,,,,,,,
366,,,,1,,,,,1,,,,1
367,,,1,,,,,,,,,,
368,,,,,,,,,,,,,
369,,,,,1,,,,,,,1,
371,,,1,,,,1,,,,,,
372,,1,,,,,,,1,,,,
373,,,,,,,,,,,,,
374,,,,,,,,,,,,,
377,,,,,,,,,,,,,
378,,,,1,,,,,,,,1,
379,,,,,,,,,,,,,
380,,,,,,,,,,,,,
382,,,,,,,,,,,,,
383,,,,,1,,,,,,,,
384,,,,,,,,,,,,,
387,,1,,,1,,,,1,,,,
388,,,,,,,,,,,,,
389,,,,,,,,,,,,,
390,,,,,,,,,,,,1,
391,,,,,,,1,,,,,,
393,,,,,,,,,,,,,
395,,,,,,,,,,,,,
396,,,,,,,,,,,,,
397,,,,,,,,,,,,,
398,,,1,1,,,,,,,,,
399,,,,,,,,,,,,,
400,,,,,,,,,,,,,
401,,,,,,,,,,,,,
402,,,,,,,,,1,,,,
403,,,,,,,,,1,,,,
404,,,1,,,,,,,,,,
405,,,,1,,,,,,,,,
407,,,,1,,,,,,,,,
409,,,,,,,,,,,,,
410,,,,,,,,,,,,1,
412,,,,,1,,,,,1,,,
413,,,,,,,,,1,,,,
415,,,,,,,,,,,,,
416,,,,,,,1,,1,,,1,
418,,,,,,,,,,,,,
419,,,,,,,1,,,,,,
420,,,,,,,,,,,,,
421,,,,,,,,,,,,,
422,,,,1,,,1,,1,,,,
424,,,1,1,,,,,,,,,
425,,,,,,1,1,,1,,,,
426,,1,,,,,1,,1,,,,
427,,,,,,,,,,1,,,
428,,1,,1,1,,,,,,,,
430,,,,,,,,,,,,,
431,,,,1,,,1,,,,,,
432,,,,1,,,,,1,,,,
433,,,,,,,,,,,,,
434,,,,1,,,1,,,,,,
435,,1,,,,,,,1,,,,
436,,,,,,,,,1,,,,
438,,,1,,,,,,,,,,
439,,1,1,,,,1,,1,,,,1
440,,,1,,,,,,,,,,
443,,1,,,,,1,,,,,,
444,,,,,,,,,,,,,
445,,,,,,,,,,,,,
446,,,,,,,,1,,,,,1
447,,,,,,,,,,,,,
448,,,,1,,,1,,1,,,,
449,,,1,,,,,,,,,,
452,,1,,,,,,,1,,,,
453,,,,,,,,,,,,,
455,,,,,,,,,,,,,
456,,,,,,,,,,,,,
458,,,,,,,,,,,,,
460,,,,1,,,1,,,,,,
461,,1,,,,,1,,,,,,
462,,,1,,,,,,,,,,
464,,,1,,,,,,,,,,
465,,,,,,,,,,,,,
466,,1,,,,,,,1,,,,
467,,,,,,,,,,,,,
468,,,1,,,,,,,,,,
469,,,,,,,1,,1,1,,,
470,,,,,,,,,,,,,
471,,,,,,,,,,,,,
472,,,,,,,,,,,,,
473,,,,,,,,,,,,,
474,,,,,,,,,,,,,
475,,,,1,,,1,,,,,,
477,,,,,,,1,,1,,,,
479,,,,,,,,,,,,,
481,,,1,,,,1,,,,,,
483,,1,,,,,,,1,,,,
484,,,,,,,,,1,,,,
486,,,,,,,,,,,,,
487,,,,1,,,1,,1,,,,
488,,,,,1,,,1,,1,1,,
490,,,,,,,1,,,,,,
491,,,,,,,1,,,,,,
492,,,,,,,,,,,,,
495,,,,,,,,,,,,,
497,,,,1,,,,,1,,,1,
499,,,,,,,,,,,,,
501,,,,,,,,,,,,,
502,,,,,,,,,,1,,,
506,,,,,,,,1,,,,,1
507,,1,,,1,,1,,1,,,,
508,,,,1,1,,,,,,,,1
509,,,,,,,,,,,,,
510,,,,,,,,,,,,,
513,,,,,,1,1,,1,,,,
514,,,,,,,,,1,,,,
515,,,,,,,,,,,,,
516,,,,,,,,,,,,,
518,,,,,,,,,,,,,
519,,,,,,,,1,,,,,
520,,,,,,,,,,,,,
521,,1,,,,,,,,1,,,
522,,,1,,,,,1,,1,,,1
523,,,,,,,,,,,,,
524,,1,,,,,,,1,,,,
525,,,,,,,,,,,,,
526,,,,,,,1,,1,,,,
528,,1,,,,,,,,,,,
530,,,,,,,,,,,,,
531,,,,,,,,,,,,,
533,,,,1,,,1,1,,,,,
534,,,1,,,,,,,,,,
535,,,1,,,,,,,,,,
536,,1,,,,,,,,,,,
538,,,1,,,,,,,,,,
540,,,,,,,,,,,,,
541,,,,,,,,,,,,,
542,,,,,,,,,,,,,
543,,,,,,,1,,1,,,,
545,,,,,,,,,,,,,
546,,,1,,,,,,1,,,,
547,,,,,,,,,,,,,
548,,,1,,,,,,,,,,
549,,,1,,,,,,,,,,
550,,,1,,,,1,,1,,,,
551,,,,,,,,,,,,,
553,,,,1,,,,,,,,,
554,,,,,,,,,,,,,
555,,,,,,,,,,,,,
556,,,,,1,,,,,,,,
557,,,,,,,,,,,,,
558,,,,,1,,1,,,,,,
560,,,,,,,,,,,,,
562,,,,,,,,,,,,,
563,,,,,,,,,,,,,
564,,,,,,,,,,,,,
565,,,,,,,1,,,,,,
566,,,,,,,,,,,,,
567,,,,,,,,,,,,,
569,,,,,1,,,,,1,1,,
570,,,,,,,,,,,,,
573,,,,1,,,,,,,,,
574,,,,,,,,,,,,,
575,,,,1,,,1,,1,,,,
576,,,1,,,,,,,,,,
579,,,,,,,,,,,,,
580,,,,,,,,,,,,,
583,,,,,1,,,,,,,,
584,,,,,,,,,,,,,
585,,,,,,1,,,1,,,1,
586,,,,,,,,,,,,,
587,,1,,1,,,,,1,,,,
588,,,,,,,,,,,,,
589,,,,,,,1,,,,,,
590,,,,,,,,,,,,,
591,,,,,,,,,,,,,
592,,,,1,,,,,,,,,
593,,,,,,,1,,,,,,
594,,,,,,,,,1,,,,
596,,,,,,,,,,,,,
597,,,,,,,,,,,,,
599,,,,,,,1,,1,,,,
600,,,,,,,,,,,,,
601,,,,,,,,,,,,,
602,,,,1,,,1,,,,,,
606,,,,1,,,,,,,,,
607,,,1,,,,,,,,,,
608,,,,,,,1,,,,,,
609,,,1,,,,,,1,,,,
611,,,,,,,,,,,,,
613,,,,,,,,,,,,,1
614,,,,,1,,1,,1,,,,
615,,,1,,,,,,,,,,
616,,,,,,,,,1,,,,
618,,,,,,,,,,,,,
619,,,,,,,,,,,,,
620,,,,,,,,,,,,,
621,,,,1,,,,,,,,,
622,,,,,,,1,,,,,,
623,,,,,,,1,,1,,,,
624,,,1,,,,,,,,,,
626,,,,,,,,,,,,,
628,,,,,,,1,,1,,,,
629,,,,,,,,,,,,,
630,,,,,,,,,,,,,
631,,,,,1,,1,,,,,,
632,,,,1,,,1,,,,,,
633,,,,1,1,,,,,,,,
634,,,,1,,,1,,1,,,1,
638,,,,,,,,,,,,,
639,,,,,,,,,,,,,
640,,,,,,,,,,,,,
642,,,,,,,,,,,,,
643,,1,1,,,1,1,,1,,,,
645,,,,,,,,,,,,,
646,,,,,,,,,,,,,
647,,,,,,,,,,,,,
651,,,,,,,,,,,,,
652,,,,,,,,,,,,,
654,,,,,,,,,,,,,
655,,,,,,,,,,,,,
656,,,,,,,,,,,,,
657,,,,,,,,,,,,,
659,,,,,,,,,,,,,
661,,1,,,,1,1,,1,,,,
662,,1,,,,,1,,1,,,,
663,,1,,,,,,,1,,,,
664,,,,1,,,,,,,,,
665,,,,,,,,,,,,,
666,,,,,,,1,,,,,,
667,,,,,1,,,1,,,,,
669,,,1,,,,1,1,,,,,1
670,,,,,,,,,,,,,
671,,,,1,,,1,,,,,,
672,,1,,,,,,,1,,,,
674,,,,,,,,,,,,,
675,,,,,,1,1,,1,,,,
676,,,,,,1,1,,1,,,,
677,,,,,,,,,,,,,
678,,,,,,,,,,,,,
679,,,,,,,,,,,,,
681,,1,,,,,1,,1,,,,
682,,,,,,,,,,,,,
685,,1,,,1,,,,,,,,
686,,,,1,,,,,,,,,
688,,,,,,,,,,,,,
689,,,1,1,1,,,,,,,,
691,,,,,,,,,1,,,,
692,,1,,1,,,1,,1,,,,
693,,,,,,,,,,,,,
694,,,,,,,,,,,,,
695,,,,,,1,,,,,,,
697,,,,,,,,,,,,,
699,,,,,,,,,,,,,
700,,,,,,,,,,1,,,
701,,,,,,,,,,,,,
704,,1,,1,,,1,,1,,,,
705,,,,,,,,,,,,,
706,,,1,,,,,,,,,,
708,,,,,,1,1,,,,,,
709,,1,,,,,,,1,,,,
710,,,,,,1,,,1,,,,
711,,,,,,,,,,,,,
712,,1,,,,,,,1,,,,
713,,,,,,,,,,,,,
714,,1,1,,,,1,,1,,,,
715,,,,,,,,,1,,,,
718,,,,,,,,,,,,,
719,,,,,,,,,,,,,
720,,,,1,,,,,,,,1,
721,,,,1,,,,,,,,,
722,,,,,,,,1,,,,,1
723,,,,,,,,,,,,,
725,,,,,,,,,,1,,,
726,,,,,,,1,,,,,,
727,,,,,,,1,,,,,,
728,,,,,,,,,,,,,
729,,1,,,,,,,1,,,,
730,,1,,,,,,,1,,,,
731,,,,,,,,,1,,,,
732,,,,1,,,,,1,,,,
733,,,,,,1,1,,,,,,
734,,,,,,,,,,,,,
735,,,,,,,,,,,,,
736,,,,,,,1,,,,,,
738,,1,,,,,,,1,,,,
739,,,,,,,,,,,,,
740,,1,,,,,,,1,,,,
742,,,,1,,,,,,,,1,
743,,,,,,,,,,,,,
744,,,1,,,,,,,,,,
746,,,,,,,1,,1,,,,
747,,,,,,,,,,,,,
749,,,,,,,,,,,,,
750,,,,,,,,,,,,,
751,,,,1,,,,,,,,,
753,,,,1,,,,,,,,,
754,,,,1,,,,,,,,,
755,,,1,,,,,,,,,,
756,,,1,,,,,,1,1,,,1
758,,,,1,,,,,,,,,
759,,1,,,,,1,,1,,,,
760,,,,1,,1,1,,1,1,,,
761,,,,,,,1,,1,,,,
762,,1,1,,,,1,,1,,,,
763,,,,1,,,,,,,,1,
764,,,,,,,,,1,,,,
766,,,,,,1,,,1,,,,
767,,,,1,,,,,1,,,,
768,,,,,,,,,,,,,
769,,,,,,1,1,,1,,,,
770,,1,,,,,,,,,,,
771,,,,1,,,,,,,,,
772,,,,,,,,,,,,,
773,,,1,,,,1,,1,,,,
774,,,,,,,,,,,,,
775,,,1,,,,1,,1,,,,
777,,,,,,,,,,,,,
778,,,,,,,,,,,,,
780,,,,,,,,,,,,,
781,,,,,,,1,,1,,,,
782,,,,,,,,,,,,,
784,,1,1,,,1,1,,1,,,,
785,,1,,,,,1,,1,,,1,
786,,,,,,,,,,1,,,
787,,,,,1,,1,,1,,,,
788,,,,,,,1,,,,,,
790,,,,,,,,,,,,,
791,,,,,,,,,,,,,
794,,,,,,,,,,,,,
795,,,,,,,,,,,,,
797,,,,,,,,,,,,,
798,,,,,,,,,,,,,
799,,1,1,1,,,1,,1,,,,
800,,,1,,1,,,,,,,,
801,,,,,,,,,,,,,
802,,,,,,,1,,,,,,
804,,,,,,,,,,,,,
805,,,,,,,1,,1,,,,1
806,,,,,,,,,,,,,
807,,1,,,,,,,1,,,,
808,,,,,,,1,,1,,,,
809,,,,,,,,,,,,,
810,,,,1,,,,,,,,,
811,,,,,,,,,,,,,
812,,,,,,,1,,,,,,
814,,,,1,,,,,,,,1,
816,,,,,,,,,,,,,
817,,,,,,,,,,,,,
818,,,1,,,,,,1,,,,
820,,,1,,,,1,,,,,,
821,,,,,,,,,,,,,
822,,,,,,,,,,,,,
823,,1,,,,,1,,1,,,,
826,,,,,,,,,,,,,
828,,,,,,,,,,,,,
829,,,,,,,,,,,,,
831,,,,,,,,,,,,,
832,,,,,,,,,,,,,
834,,,,,,,,,,,,,
835,,,,,,,,,,,,,
838,,,1,,,,1,,1,,,,
839,,,,,,1,,,,,,,
840,,,,,,,1,,,,,,
841,,,,,,,,1,,,,,1
842,,,,,,,,,,1,,,
843,,,,1,,,,,,,,,
845,,,,,,,,,,,,,
847,,,,,,,,,,,,,
848,,,,,1,1,,1,,,,,
850,,1,,,,,1,,,,,,
851,,,,,,,,,1,,,,
852,,,,1,,,,,1,,,,
853,,,,,,,,,,,,,
854,,1,,,,,,,1,,,,
856,,,,,,,,,,,,,
857,,1,,1,1,,1,,1,1,,,
860,,,,,,,1,,,,,,
861,,1,,,,,,,,,,,
862,,,,,,,,,,,,,
863,,,,,,,,,,,,,
865,,,,,,,,,1,,,,
868,,,,,,,,,1,,,,
869,,1,,,,,,,1,,,,
872,,,,,,,,,,,,,
873,,,,,,,,,,,,,
874,,,,1,,,,,,,,,
876,,,,,,,,,,,,,
879,,,,,,,1,,1,,,,
881,,,,,,,,,,,,,
882,,,,1,,,1,,1,,,,
883,,,,,1,,,,,,,,
884,,,,,,,,,,,,,1
885,,,,,,,,,,,,,
887,,,,,,,,1,,,,,
890,,,,1,,,1,,,,,,
892,,1,,,,,,,,,,,
895,,,,,,,,,,,,,
896,,,,1,,,1,,,,,,
897,,,,,,,,,,,,,
898,,,,1,,,,,,,,,
900,,,,,,,,,,,,,
902,,,,,,,,,,,,,
903,,,,,,,,,,,,,
904,,,,,,,,,,,,,
905,,,,,,,,,1,,,,
906,,,,,,,,,,,,,
907,,1,,,1,,,,1,,,,
908,,,,,,,,,,,,,
909,,,,,,,1,,1,,,,
910,,,,,,,,,,,,,
912,,,,,,,,,,,,,
913,,,1,,,,1,,,,,,
916,,,,,,,,,,,,,
922,,,,1,,,,,,,,,
923,,,,,,,,,,,,,
924,,1,,,,,,,,,,,
925,,,,,,,,,,,,,
926,,,,,,,,,,,,,
927,,1,,1,,,1,,,,,,
928,,1,,,,,1,,1,,,,
929,,,,,,,,,,,,,
930,,,,,,,,,,,,,
931,,1,,,,,1,,1,,,,
932,,,,,,,,,,,,,
933,,1,,1,1,,,,,1,,1,
934,,,,,,,,,,,,,
935,,,,,,,,,,,,,
936,,,,,,,,,,1,,,
937,,,,1,,,,,,,,,
939,,,,,,,,,,,,,
940,,1,1,,,,1,,1,,,,
941,,,,1,,,,,,,,,
942,,,,1,,,,,1,,,1,
943,,1,,1,,1,1,,1,,,1,
944,,1,,,,,1,,1,,,,
946,,,1,1,,,1,,,,,,
947,,,,1,,,1,,1,,,,
948,,,,,,,,,,,,,
949,,,,,,,,,,,,,
951,,,,,,,,,,,,,
952,,,,,,,,,,,,,1
954,,,,,,,,,,,,,
955,,,,,,,,,,,,,
957,,,,,,,,,,,,,1
958,,,,,,,,,,,,,
961,,,,,,,,,,,,,
962,,,,,,,1,,,,,,
963,,,,,,,,,,,,,
964,,,,1,,,1,,1,,,,
966,,,,,,,,,,,,,
967,,,,,,,,,,,,1,
968,,,,,,1,,,,,,,
969,,,,,,,,,,,,,
971,,,,,,,,,,,,,
972,,,,,,,,,,,,,
974,,,,,,,,,,,,,
975,,,,,,,,,,,,,
980,,,,,,,,,,,,,
981,,,,,,,,,,,,,
983,,,,,,,,,,,,,
984,,1,,,,,,,1,,,,
986,,,1,,,,,1,,,,,
988,,,,1,,,,,,,,,
990,,,,,,,,,,,,,
991,,,,1,,,,,,,,,
997,,1,,,,,,,1,,,,
998,,,,,,,,,,,,,
999,,,,,,,,,,,,,
1000,,1,,,,,1,,1,,,,
1001,,,,,,,,,,,,,
1006,,,,,,,,,,,,,
1007,,,,,,,,,,,,,
1008,,,,,,,,,,,,,
1009,,,,,,,1,,,,,,
1010,,,,,,,,,1,,,,
1011,,,,,,,,,,,,,
1013,,,,,,,,,,,,,
1015,,,,,,,,,,,,,
1016,,1,,,,,,,,,,,
1018,,,,,1,,,,,,,,1
1020,,,,1,,,,,,,,,
1021,,,,,,,,,1,,,,
1023,,,,,,,,,,,,,
1024,,,1,1,,,1,,,,,,
1025,,1,,,,,,,1,,,,
1027,,,1,,,,1,,,,,,
1028,,,,,,,1,,,,,,
1030,,,,,1,,,,,,,,
1032,,,,,,,,,,,,,
1033,,,,,,,,,,,,,
1034,,,,,,,,1,,,,,
1035,,,,,,,,,,,,,
1036,,,,1,,,,,,,,,
1037,,,,,,,,,,,,,
1038,,,1,1,,,,,,,,,
1039,,,1,,,,,,,,,,
1040,,,,,,,,,,,,,
1041,,1,,,,,,,,,,,
1042,,,,,,,1,,,,,,
1044,,,,1,,,,,,,,,
1045,,,,,,,,,,,,,
1047,,,,,,,,,,,,,
1050,,,,,,,,,,,,,
1051,,,,,,,,,,,,,
1053,,1,,1,,,,,1,,,,
1054,,,,,,,,,,,,,
1056,,,,,,,,,,1,,,
1057,,,1,,,,,,,,,,
1058,,,,,,,,,,,,,
1059,,,,,,,,,,,,,
1060,,,,1,,,,,,,,,
1061,,,,,,,1,,1,,,,
1062,,,,,,,,,,,,,
1063,,,,,,,,,,,,,
1065,,,,,1,,,,,,,,
1067,,,,,,,,,,,,,
1070,,,,,,,,,,,,,
1071,,,1,,,,,,,,,,
1072,,,,,,,,,,,,,
1074,,,,,,,,,,,,,
1075,,,,1,,,1,,1,,,,
1076,,,,,,,,,,,,,
1077,,,,,,,,,,1,,,
1078,,,,,,,,,,,,,
1079,,,,,,,,,,,,,
1080,,1,,,,,,,1,,,,
1083,,1,,1,,,,,1,,,,
1084,,,,,,,,,,,,,
1085,,,,,,,,,,,,,
1086,,,,1,,,,,,,,1,
1089,,,1,,,,1,,,1,,,
1091,,,,,,,,,,,,,
1094,,,,,,,,,1,,,,
1095,,,,,,,,,,,,,
1098,,,,,,,1,,1,,,,
1099,,,,,,,,,,,1,,
1100,,,,1,,,,,,,,,
1102,,1,,,1,,,,,,,,
1103,,,,,,,,,,,,,
1105,,1,,,,,1,,1,,,,
1106,,,,,,,,,,,,,
1107,,,1,,,,,,1,,,,
1108,,,,,,,,,,,,,
1109,,,,,,,,,,,,,
1110,,1,,,,,1,,1,,,,
1111,,,,,,,1,,,,,,
1112,,,,,,,,,,,,,
1113,,,,,,,1,,1,,,,
1117,,,,,,,,,,,,,
1118,,,,,,,,,,,,,
1119,,,,,,,,,,,,,
1121,,,,,,,,,,,,,
1122,,,,,,,,,,,,,
1123,,,1,,,,,,,,,,
1124,,,,,,,,,,,,,
1125,,1,,,,,,1,1,,,,1
1127,,,,,,,,,,,,,
1128,,,,,1,,,,,,,,
1129,,,,,,,,,,1,,,
1130,,,,,,,,,,,,,
1131,,,,,,,,,,,,,
1132,,,,,,,,,,,,,
1133,,,,,,,,,,1,,,1
1135,,1,,,,1,1,,1,,,,
1137,,,1,,1,,1,,,,,,
1138,,,,,,,,,,1,1,,1
1139,,,,,,,,,1,1,,,
1141,,,1,1,,,1,,1,,,,
1142,,,1,,,,,1,1,,,,1
1143,,,,,,,,,,,,,
1144,,,,,,,,,,,,,
1145,,,,,,,1,,1,1,,,
1146,,1,,,1,,1,,,,,,
1147,,,,,,,,,,,,,
1148,,,,,,,,,,,,,
1149,,,,,,,,,,,,,
1150,,,,,,,,,,,,,
1151,,,,1,,,1,,1,,,1,
1152,,1,,,,,,,,1,,,
1153,,,,,,,,,,,,,
1155,,,,,,,,,,,,,
1156,,,,,,,1,,,,,,
1157,,,,,1,,,,1,,,,
1159,,,,,,,,,,,,,
1160,,,,,,,,,,,,,
1162,,,,,,,,,,,,,
1163,,,,,,,,,,,,,
1164,,,,1,,,,,1,,,,
1166,,,,,,,,,,,,,
1172,,,,,,,,,,,,,
1174,,,,,,,,,,,,,
1178,,1,,,,,,1,,,,,1
1179,,,1,,,,,,,1,,,
1180,,,,1,,,,,,,,,
1181,,,,,,,,,1,,,,
1183,,,,,,,,,,,,,
1185,,,,1,,,,1,,,,,1
1187,,,,,,,,,,,,,
1188,,,,1,,,,,,,,,
1189,,,,1,1,,1,,1,,,1,
1190,,1,,,,,,,1,,,,
1192,,,,,,,,,,,,,
1194,,,,,,,,,,,,,
1195,,,,1,,,1,,,,,,
1196,,,,,,,,,,,,,
1197,,,,,,,,,,,,,
1198,,1,1,,,1,1,1,1,,,,1
1201,,,,,,,1,,,,,,
1202,,,,,,1,1,,1,1,,,
1205,,1,,,,1,1,,1,,,,
1206,,,,1,,,,,,1,,,
1207,,,,,,,,,,,,,
