uniq_id,Back End,C-suite executive,Cloud Computing,Data Scientist,Data or business analyst,Database Administrator(DBA),Designer,DevOps,Educator or academic researcher,Embedded applications or devices developer,Engineering manager,Enterprise application,Front End,Full stack,Game developer,Information Security,Mobile Developer,Network Engineer,Product Manager,QA/Test Developer,Sales professional,Software Developer/Java Developer,Student,System Administrator,Unnamed: 1,Web Developer
28,0.2147699081806045,0,,,,,0,,0,0,0,,,0.2081864080080456,,0.3579675597824677,,,0.2190761240288819,,,,0,,0,
29,0.2846255478398999,0,,,,,0,,0,0,0,,,,,0.2905682446262597,,0.4248062075338404,,,,,0,,0,
30,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
31,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,0,
32,0.4112857549770381,0,,,,,0,,0,0,0,,,,,,0.5887142450229619,,,,,,0,,0,
33,,0,,,,,0,,0,0,0,0.1806308392542605,0.1768634138079666,,,,,,0.1715886606345393,,,0.2941834682004888,0,0.1767336181027448,0,
34,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,0,
35,,0,,,,,0,,0,0,0,,,,,0.4126281220728907,,,,,,0.5873718779271093,0,,0,
36,,0,,0.1440173971335547,,,0,,0,0,0,,,,0.1392808253804014,,0.1421613172826887,,,,,0.139220701619191,0,0.2808992354429382,0,0.1544205231412258
37,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
38,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
39,,0,,,,,0,,0,0,0,0.1534195327888583,0.1557451138303142,0.1462286214796262,,,0.251120323259542,,0.15147338961131,,,,0,0.1420130190303492,0,
40,,0,,,,,0,,0,0,0,,,,,1.0,,,,,,,0,,0,
41,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
42,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
43,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,0,
44,,0,,,,0.1283318627624332,0,,0,0,0,0.1259623034704312,0.1346297620079448,,,0.2217876452411038,,,0.1242807270552135,,0.136377614471633,,0,0.1286300849912402,0,
45,,0,,,,,0,,0,0,0,,,,,,,,,1.0,,,0,,0,
46,,0,,,,,0,,0,0,0,,,,,,,,,,,,0,1.0,0,
47,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
48,0.2123880868482212,0,,,,,0,,0,0,0,0.226666561402535,,,,,,0.3462700614339699,,,,,0,0.2146752903152739,0,
49,,0,,,,,0,,0,0,0,,,,,,,,1.0,,,,0,,0,
50,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,0,
51,,0,,,,1.0,0,,0,0,0,,,,,,,,,,,,0,,0,
52,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
53,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,0,
54,,0,,,,,0,,0,0,0,,,,,,,,,,,,0,,0,1.0
55,,0,,,,,0,,0,0,0,,,1.0,,,,,,,,,0,,0,
56,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,0,
57,,0,0.2041398291314032,,,0.1904857491482126,0,,0,0,0,,,,,,,,0.4015872243808188,,,0.2037871973395652,0,,0,
58,,0,,,,,0,,0,0,0,,,1.0,,,,,,,,,0,,0,
59,,0,,,,,0,,0,0,0,,,,,,,,,,,,0,1.0,0,
60,,0,,,,0.5937419528497127,0,,0,0,0,,,,,0.4062580471502873,,,,,,,0,,0,
61,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
62,,0,0.1653238013828297,,,0.1721554676074698,0,,0,0,0,,,,0.1626455084579222,,0.1715225111124296,,,,,0.3283527114393486,0,,0,
63,,0,,,,,0,,0,0,0,,,,,,,1.0,,,,,0,,0,
64,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,0,
65,,0,,0.1233848401946552,0.1251154251867001,0.1302527213514769,0,,0,0,0,,,,,,,0.1321108206189563,0.243758962740133,,,0.1200405613105843,0,,0,0.125336668597494
66,,0,,,,0.2862912614645485,0,,0,0,0,,,,,,,0.1741530652994824,,,0.1773398371047,0.1786236528810871,0,0.1835921832501818,0,
67,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,0,
68,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,0,
69,0.1320959459096801,0,,0.2133073218269616,0.1279270649865717,,0,,0,0,0,,,,,,,0.1300169835124811,0.1350470678462425,,,,0,0.1328278624055263,0,0.1287777535125363
70,,0,,,,,0,,0,0,0,,,,,0.4083533979092762,,0.5916466020907237,,,,,0,,0,
71,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
72,0.3026940070250526,0,,,,,0,,0,0,0,0.1722268182561527,,0.1782646879399406,,,,,0.1730706404702211,,,,0,0.1737438463086329,0,
73,,0,,,,,0,,0,0,0,,,,,,,,1.0,,,,0,,0,
74,,0,,,,,0,,0,0,0,,,,,0.403919925216414,0.5960800747835859,,,,,,0,,0,
75,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
76,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,0,
77,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
78,,0,,,,,0,,0,0,0,,,,,,,,1.0,,,,0,,0,
79,,0,,,,,0,,0,0,0,0.2101820809594784,0.2172624797079753,,,,,0.3584549470197845,0.2141004923127617,,,,0,,0,
80,0.2227486770000417,0,,,0.3438798355751861,,0,,0,0,0,0.2142390575752288,,,,,,,,,0.2191324298495433,,0,,0,
81,0.2212923022086075,0,,,,,0,,0,0,0,0.2150945163908642,,,,,,,,0.3404033230719179,0.2232098583286103,,0,,0,
82,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,0,
83,,0,,,,,0,,0,0,0,,,,,,,,,1.0,,,0,,0,
84,,0,,,,,0,,0,0,0,,,,,,,,,,,,0,,0,1.0
85,0.1192517937607115,0,,,,,0,,0,0,0,,0.1125911628562779,0.1132908933766258,,,,0.1956498949108678,0.1140617351375597,,,0.1150199413098112,0,0.1158947333451261,0,0.1142398453030199
86,0.2258745980051814,0,,,,,0,,0,0,0,,,,,0.2256623289972006,,0.3304886558173237,,,0.2179744171802942,,0,,0,
87,,0,0.3301385359242006,,,,0,,0,0,0,0.2202719857932038,,,,0.2308711340499268,,0.2187183442326687,,,,,0,,0,
88,,0,,,,,0,,0,0,0,,,,,,,,,,,,0,1.0,0,
89,,0,,,0.5724642663955871,,0,,0,0,0,,,,,0.4275357336044129,,,,,,,0,,0,
90,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
91,,0,,,,,0,,0,0,0,0.2718766949741412,,,,,,,0.2755180458186755,,,,0,0.4526052592071831,0,
92,,0,,,,,0,,0,0,0,0.1825905558918187,,0.1697989442909797,,,,,0.1788577406692721,,0.2948962774339405,,0,0.1738564817139888,0,
93,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
94,,0,0.1455784855848836,,0.148224257096185,,0,,0,0,0,,,,0.1387792453269676,,0.1469845523479113,,,0.1413893560016081,,0.2790441036424442,0,,0,
95,,0,,,,,0,,0,0,0,,,,,,,1.0,,,,,0,,0,
96,,0,,,,,0,,0,0,0,,0.2145717263868023,,,0.2250690915201751,,,0.3342409525429136,,0.2261182295501088,,0,,0,
97,,0,,,0.3017803853369774,,0,,0,0,0,0.1806203708008738,,0.1665308314258823,,,,,0.1759813325403263,,,,0,0.1750870798959401,0,
98,,0,,,,,0,,0,0,0,0.5883065764782688,,,,0.4116934235217312,,,,,,,0,,0,
99,,0,,,,,0,,0,0,0,0.3985401785890015,,,,0.6014598214109986,,,,,,,0,,0,
100,,0,,,0.1256871093296286,,0,,0,0,0,0.2290615411601708,,0.1251366386179622,,,,0.1245699289479629,0.1347672804562927,,,,0,0.1345554508143056,0,0.1262220506736768
101,,0,,,,,0,,0,0,0,,,,,,,0.2206311064885022,0.2150791121417833,,0.2186281722465611,,0,0.3456616091231533,0,
102,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
103,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
104,0.1960216431594768,0,,,,0.4393727005183987,0,,0,0,0,,,0.1790303266190355,,,,,,,,0.1855753297030889,0,,0,
105,,0,,,,,0,,0,0,0,,0.3889312180934399,,,,,0.61106878190656,,,,,0,,0,
106,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
107,,0,,,,,0,,0,0,0,,,,,,,,,,,,0,,0,1.0
108,0.1773894535159179,0,,,,,0,,0,0,0,0.1830930934414059,,,,,0.2781732313005682,,0.1762329870009008,,0.1851112347412071,,0,,0,
109,,0,,,,0.6308084645979392,0,,0,0,0,,,0.3691915354020607,,,,,,,,,0,,0,
110,0.2209705511350989,0,,,,,0,,0,0,0,,,,,0.2247575958108359,,,,,0.2250903373223345,0.3291815157317306,0,,0,
111,,0,,,,,0,,0,0,0,,,1.0,,,,,,,,,0,,0,
112,0.4140548501526531,0,,,,,0,,0,0,0,,,,,,,,0.5859451498473468,,,,0,,0,
113,,0,,0.1711465292465256,0.1643583879027911,0.1628769621795069,0,,0,0,0,,0.3350665723639249,,,,,,,,,,0,,0,0.1665515483072512
114,,0,,,,,0,,0,0,0,,,,,1.0,,,,,,,0,,0,
115,0.1761602797292675,0,,,,0.2839959440621478,0,,0,0,0,,,,,,,0.1772374001098245,0.1770723015583387,,,,0,0.1855340745404213,0,
116,,0,,,,,0,,0,0,0,0.5102497997624519,,,0.2502865281366876,,,,,0.2394636721008604,,,0,,0,
117,,0,,,,,0,,0,0,0,0.1788356258946066,,0.1757279374658003,,,,,0.1771517121792182,,,0.2952882450258533,0,0.1729964794345216,0,
118,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,0,
119,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
120,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
121,0.2748502605167703,0,,,0.4455282789277459,,0,,0,0,0,,,,,,,,,,0.2796214605554838,,0,,0,
122,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
123,,0,,,,,0,,0,0,0,,,,,,,,1.0,,,,0,,0,
124,,0,0.1360061511395361,,,,0,,0,0,0,,,,0.1419206198337233,0.3047100659677539,0.1452797853385123,,,0.131023300832446,,0.1410600768880281,0,,0,
125,,0,,,,,0,,0,0,0,,,,,0.4100299069102099,,,,0.5899700930897901,,,0,,0,
126,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,0,
127,,0,,,,,0,,0,0,0,0.1804020393529865,0.1791430643760429,,,,,0.2893329182162031,0.1769541224415301,,,,0,0.1741678556132371,0,
128,0.2890805609484864,0,,,,,0,,0,0,0,,,,,0.2837118735073756,,,,,,0.427207565544138,0,,0,
129,,0,,,,0.311312419832373,0,,0,0,0,0.17793885232754,,,,,,0.1628680069069655,0.1745462743571619,,,,0,0.1733344465759594,0,
130,,0,,0.1757393221011631,0.3367801308950365,0.161336727654163,0,,0,0,0,,,,,,0.1665020462393779,,,,,0.1596417731102593,0,,0,
131,0.2282408443996971,0,,,,,0,,0,0,0,0.2168530852839646,0.2136056012028371,,,,,,,,,0.3413004691135011,0,,0,
132,0.2901353793658329,0,,,,,0,,0,0,0,,0.2713790082947013,,,,,,0.4384856123394659,,,,0,,0,
133,,0,,,,,0,,0,0,0,,,,,1.0,,,,,,,0,,0,
134,0.2813760098978908,0,,,,,0,,0,0,0,,0.2674887252474673,,,,,,,,0.4511352648546419,,0,,0,
135,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,0,
136,,0,,,,,0,,0,0,0,,,,,,,,1.0,,,,0,,0,
137,,0,,,,,0,,0,0,0,,,,,,1.0,,,,,,0,,0,
138,,0,,,,,0,,0,0,0,1.0,,,,,,,,,,,0,,0,
139,,0,,,,,0,,0,0,0,,,,,1.0,,,,,,,0,,0,
140,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
141,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,0,
142,,0,,,,,0,,0,0,0,,,,,,,,1.0,,,,0,,0,
143,,0,,1.0,,,0,,0,0,0,,,,,,,,,,,,0,,0,
144,,0,,,,,0,,0,0,0,,,,,,,1.0,,,,,0,,0,
145,,0,,,,,0,,0,0,0,,,,,,1.0,,,,,,0,,0,
146,0.1715839552612957,0,,,,,0,,0,0,0,0.1855797602989641,,,,,,0.2931753787725538,0.1768993213204391,,,,0,0.1727615843467472,0,
147,0.2133609488942193,0,,,,,0,,0,0,0,,,,,0.2313469357289767,,0.3323613101214173,,,0.2229308052553865,,0,,0,
148,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
149,,0,,,,,0,,0,0,0,,,,,,,1.0,,,,,0,,0,
150,,0,,,,,0,,0,0,0,,,,,,,,,,,,0,1.0,0,
151,,0,,,,,0,,0,0,0,,,,,,,1.0,,,,,0,,0,
152,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
153,,0,,,,,0,,0,0,0,,,,,,,,,,,,0,,0,1.0
154,,0,,,,,0,,0,0,0,,,,,,,1.0,,,,,0,,0,
155,,0,,,,,0,,0,0,0,0.2196823778816675,,,,0.2246855358043919,,,,,0.2238202702080279,,0,,0,0.3318118161059125
156,0.2717250812490013,0,,,,,0,,0,0,0,,,,,0.2883605796384106,,,,,,0.439914339112588,0,,0,
157,,0,,,,,0,,0,0,0,,,,,,,,,,0.3831728327267448,,0,0.6168271672732552,0,
158,0.6281298220716816,0,,,,,0,,0,0,0,,,,,0.3718701779283185,,,,,,,0,,0,
159,,0,,,,,0,,0,0,0,,,,,,1.0,,,,,,0,,0,
160,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
161,,0,,,,,0,,0,0,0,,0.1534321368076655,0.1445970249403205,,,,0.1524911317794347,0.1551532558407335,,,,0,0.2507611121136467,0,0.1435653385181989
162,,0,,0.1315090237145061,0.1329340164978691,0.1239218146375242,0,,0,0,0,,,,,,0.1210755639176972,,,,,0.1230272955408118,0,0.2374761139451513,0,0.1300561717464399
163,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,0,
164,,0,,,,,0,,0,0,0,,,,,1.0,,,,,,,0,,0,
165,,0,,,,,0,,0,0,0,0.1536678261405429,,0.1452713549892326,,,,,0.1542370047396979,0.2537594927486637,,,0,0.1428596535287464,0,0.1502046678531163
166,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
167,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,0,
168,,0,,0.1257532446510063,0.1273049368419571,0.1269533699440491,0,,0,0,0,,,0.1329133706441468,,,0.1230175769117668,,,,,0.2297575918976765,0,,0,0.134299909109397
169,,0,,0.170999870529224,0.1744632097019063,,0,,0,0,0,,,0.1715726271794951,,,,,,,,,0,0.3134384100008331,0,0.1695258825885414
170,,0,,,,,0,,0,0,0,,,,,,,1.0,,,,,0,,0,
171,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,0,
172,,0,,0.1429280021244554,0.1443920981748333,0.1400514083731146,0,,0,0,0,,,,,,,,0.1551001766210544,,,0.2697284422403247,0,,0,0.1477998724662174
173,,0,1.0,,,,0,,0,0,0,,,,,,,,,,,,0,,0,
174,,0,,,,,0,,0,0,0,,,,,0.2883216844844452,,0.426693526921893,,,0.2849847885936619,,0,,0,
175,,0,,,,,0,,0,0,0,,,,,0.3926838658705719,,,,,,0.6073161341294281,0,,0,
176,,0,,0.127163697759795,0.1266868730355197,0.1271155610813706,0,,0,0,0,,,,0.1221066967500423,,0.1225833966799927,0.1317709792394475,,,,0.2425727954538319,0,,0,
177,,0,,,,,0,,0,0,0,,,,,0.4112126573083647,,,,,,0.5887873426916354,0,,0,
178,,0,,,,,0,,0,0,0,,0.4007364528427812,,,,,,0.5992635471572187,,,,0,,0,
179,,0,,,,0.336510194221311,0,,0,0,0,,0.2218185269954616,,,0.2185999490573292,,,,,0.223071329725898,,0,,0,
180,,0,,,0.1713503713321849,0.316651417497672,0,,0,0,0,,,0.1753714476299509,,,,0.1718748736740067,,,,,0,,0,0.1647518898661852
181,,0,,,,,0,,0,0,0,,,,,,,,1.0,,,,0,,0,
182,0.1839767904709608,0,,,,,0,,0,0,0,0.1777441222274432,0.17246077275706,,,,,,,0.2857178983389268,0.1801004162056091,,0,,0,
183,,0,,0.1659473694425822,0.1748472275394975,,0,,0,0,0,,,0.1761335130536848,,,,,,,0.316991681634493,,0,,0,0.1660802083297423
184,,0,,,0.3565707952982291,,0,,0,0,0,0.2221441768928694,,,,,,,0.2098222308338404,,,,0,0.211462796975061,0,
185,0.2205560574671123,0,,,,,0,,0,0,0,0.2243674758132771,,,,,,,0.2128085637196932,,0.3422679029999173,,0,,0,
186,,0,,,,,0,,0,0,0,0.4069720131505094,,,,,,0.5930279868494905,,,,,0,,0,
187,,0,,,,,0,,0,0,0,,,,,,,1.0,,,,,0,,0,
188,,0,,,,,0,,0,0,0,0.2795371264447829,0.2760486317742964,,,,,,,,,,0,,0,0.4444142417809207
189,,0,,,,0.4195312691880195,0,,0,0,0,,,,,0.2910787364024497,,,,,0.2893899944095306,,0,,0,
190,,0,0.1590911776208206,,,,0,,0,0,0,,,,0.1647453815678611,,,,,0.1517146686484619,0.3535812441027777,0.1708675280600786,0,,0,
191,,0,,,,0.1107452870044849,0,,0,0,0,,,,,,0.1104567339500379,0.1120117615500221,0.1209125702289936,,0.1183624747902867,0.1898716939751707,0,0.1181246111915187,0,0.1195148673094849
192,0.3920663803536565,0,,,,,0,,0,0,0,,,,,,,,,,0.6079336196463435,,0,,0,
193,,0,,,,,0,,0,0,0,0.2278744202548826,,,,0.2290686079372813,,,,,0.2187576193755776,0.3242993524322584,0,,0,
194,,0,,,,,0,,0,0,0,,,,,0.2916788724461531,,,0.4198617640629525,,0.2884593634908943,,0,,0,
195,,0,,,,,0,,0,0,0,0.2222634925189981,0.1333491576275166,0.1243640817975944,,,,0.1281643197277654,0.1334389947609381,,,,0,0.133435143383898,0,0.1249848101832893
196,,0,,0.124005433317838,0.1271876105959115,0.1208821515480576,0,,0,0,0,,,,,,,0.1337992605280039,,,0.237242336348997,0.124405033708135,0,,0,0.1324781739530568
197,,0,,,,,0,,0,0,0,,,,,,,1.0,,,,,0,,0,
198,0.2260837910912504,0,,,,,0,,0,0,0,0.3379706381664735,0.2122590969475112,,,,,,,,0.2236864737947647,,0,,0,
199,,0,,,,,0,,0,0,0,1.0,,,,,,,,,,,0,,0,
