Respondent,.net core,angular,cordova,django,hadoop,node.js,react,spark,spring,tensorflow,torch/pytorch,unnamed: 1,xamarin
237,,,,,,1.0,1.0,,,,,,
240,,,,,,,,,,,,,
242,,1.0,,,,,,,,,,,
243,,,,,,,,,,,,,
244,1.0,,,,,,,,,,,,
245,1.0,1.0,,,,,,,,,,,
246,1.0,,,,,1.0,,,,,,,
247,1.0,,,,,1.0,,,,,,,
248,,,,,,,,,1.0,,,,
249,,,1.0,,,1.0,1.0,,,,,,
250,,,,,,,,,,,,,
251,,1.0,1.0,,,,,,,,,,
253,,,,,,,,,,,,,
254,,,,,,,,,,,,,
255,,1.0,1.0,,,1.0,,,,,,,
256,,,,,1.0,,,1.0,,,,,
257,1.0,,,,,,,,,,,,1.0
260,,,,,,,,,1.0,,,,
261,,,,,,,,,,,,,
263,,,,,,,,,,,,,
264,,,,,,,,,,,,,
265,,,,,,,,,,,,,
266,,,,,,1.0,,,,,,,
267,,,,,,,,,,,,,
270,,,,,,1.0,1.0,,,,,,
271,,,,1.0,,,,1.0,,1.0,,,
272,,,,,,1.0,,,,1.0,,,
274,,,,,,,,,,,,,
278,,,,,1.0,,,1.0,,,,,
279,,,,,,,,,,,,,
280,1.0,,,,,,,,,,,,
282,,,1.0,,,,1.0,,,,,,1.0
283,,1.0,,1.0,,,1.0,,,,,,
284,1.0,,,,,,,,,,,,
285,,,,,,1.0,,,,,,,
286,1.0,1.0,,,,,,,,,,,1.0
287,,,,,,,,,,,,,
289,,1.0,,,,,,,1.0,,,,
291,,,,1.0,,,,,,,,,
293,,,,,,,,,,,,,
294,,,,,,,,,,,,,
295,1.0,1.0,,,,1.0,1.0,,,,,,
296,,,,,,,,,,,,,
297,,,,,,,,,,,,,
298,,,,,,1.0,1.0,,,,,,
299,,,,,,,1.0,,,,,,
302,,,,,,1.0,1.0,,,,,,
303,,,,,,,,,,,,,
304,,,,,,,,,,,,,
305,,,,,,,,,,,,,
306,,,,,,,,,,,,,
307,1.0,,,,,,,,,,,,
308,,1.0,,,,1.0,,,,,,,
310,,,,,,,,,,,,,
313,,,,,,,,,,,,,
315,,,1.0,,,1.0,1.0,,,,,,
316,,,,,,,,,,,,,
317,,1.0,,,,1.0,,,,,,,
318,,1.0,,,,1.0,,,,,,,
319,1.0,,,,,,,,,,,,1.0
320,,,,,1.0,1.0,1.0,1.0,,,,,
321,,1.0,,,,,,,,,,,
323,,,,,,,1.0,,,,,,
324,1.0,,,,,,,,,,,,
325,,,,,,,,,,,,,
327,1.0,,,,,1.0,,,,,,,
328,,1.0,,,,,1.0,,,,,,
330,,,,,,,,,,,,,
332,,,,,,,,,,,,,
333,,,,,,,,,,,,,
334,,,,,,,,,,,,,
337,,,,,,,,,,,,,
338,,1.0,,,,1.0,,,1.0,,,,
340,,,1.0,1.0,,1.0,1.0,,,,,,
342,,,,,,,,,,,,,
343,1.0,1.0,,,,1.0,,,,,,,
344,1.0,1.0,,,,1.0,1.0,,1.0,,,,
345,1.0,,,1.0,,1.0,,,,,1.0,,
346,,,,,,,,,,,,,
348,,,,,,,,,,,,,
350,1.0,,,,,,,,,,,,
351,1.0,,,,,,1.0,,1.0,,,,
352,1.0,1.0,,,,1.0,,,,1.0,,,
354,,,,,,,,,,,,,
355,,,,,,,,,,,,,
357,,1.0,,,,1.0,,,,,,,
359,,,,,,,,,,,,,
360,,,,1.0,,1.0,,,,,,,
361,,,,,,,,,,,,,
362,,,,,,1.0,,,,,,,
363,,1.0,,,,1.0,1.0,,,,,,
364,,,,,,1.0,,,,,,,
365,,,,,,,,,,,,,
366,1.0,,,,,1.0,,1.0,,,,,
367,,,,,,,,,1.0,,,,
368,,,,,,,,,,,,,
369,,,,1.0,,,,,,,,,1.0
371,,1.0,,,,,,,1.0,,,,
372,,,,,,1.0,1.0,,,,,,
373,,,,,,,,,,,,,
374,,,,,,,,,,,,,
377,,,,,,,,,,,,,
378,1.0,,,,,,,,,,,,1.0
379,,,,,,,,,,,,,
380,,,,,,,,,,,,,
382,,,,,,,,,,,,,
383,,,,1.0,,,,,,,,,
384,,,,,,,,,,,,,
387,,,,1.0,,1.0,1.0,,,,,,
388,,,,,,,,,,,,,
389,,,,,,,,,,,,,
390,,,,,,,,,,,,,1.0
391,,1.0,,,,,,,,,,,
393,,,,,,,,,,,,,
395,,,,,,,,,,,,,
396,,,,,,,,,,,,,
397,,,,,,,,,,,,,
398,1.0,,,,,,,,1.0,,,,
399,,,,,,,,,,,,,
400,,,,,,,,,,,,,
401,,,,,,,,,,,,,
402,,,,,,1.0,,,,,,,
403,,,,,,1.0,,,,,,,
404,,,,,,,,,1.0,,,,
405,1.0,,,,,,,,,,,,
407,1.0,,,,,,,,,,,,
409,,,,,,,,,,,,,
410,,,,,,,,,,,,,1.0
412,,,,1.0,,,,,,1.0,,,
413,,,,,,1.0,,,,,,,
415,,,,,,,,,,,,,
416,,1.0,,,,1.0,,,,,,,1.0
418,,,,,,,,,,,,,
419,,1.0,,,,,,,,,,,
420,,,,,,,,,,,,,
421,,,,,,,,,,,,,
422,1.0,1.0,,,,1.0,,,,,,,
424,1.0,,,,,,,,1.0,,,,
425,,1.0,1.0,,,1.0,,,,,,,
426,,1.0,,,,1.0,1.0,,,,,,
427,,,,,,,,,,1.0,,,
428,1.0,,,1.0,,,1.0,,,,,,
430,,,,,,,,,,,,,
431,1.0,1.0,,,,,,,,,,,
432,1.0,,,,,1.0,,,,,,,
433,,,,,,,,,,,,,
434,1.0,1.0,,,,,,,,,,,
435,,,,,,1.0,1.0,,,,,,
436,,,,,,1.0,,,,,,,
438,,,,,,,,,1.0,,,,
439,,1.0,,,,1.0,1.0,1.0,1.0,,,,
440,,,,,,,,,1.0,,,,
443,,1.0,,,,,1.0,,,,,,
444,,,,,,,,,,,,,
445,,,,,,,,,,,,,
446,,,,,1.0,,,1.0,,,,,
447,,,,,,,,,,,,,
448,1.0,1.0,,,,1.0,,,,,,,
449,,,,,,,,,1.0,,,,
452,,,,,,1.0,1.0,,,,,,
453,,,,,,,,,,,,,
455,,,,,,,,,,,,,
456,,,,,,,,,,,,,
458,,,,,,,,,,,,,
460,1.0,1.0,,,,,,,,,,,
461,,1.0,,,,,1.0,,,,,,
462,,,,,,,,,1.0,,,,
464,,,,,,,,,1.0,,,,
465,,,,,,,,,,,,,
466,,,,,,1.0,1.0,,,,,,
467,,,,,,,,,,,,,
468,,,,,,,,,1.0,,,,
469,,1.0,,,,1.0,,,,1.0,,,
470,,,,,,,,,,,,,
471,,,,,,,,,,,,,
472,,,,,,,,,,,,,
473,,,,,,,,,,,,,
474,,,,,,,,,,,,,
475,1.0,1.0,,,,,,,,,,,
477,,1.0,,,,1.0,,,,,,,
479,,,,,,,,,,,,,
481,,1.0,,,,,,,1.0,,,,
483,,,,,,1.0,1.0,,,,,,
484,,,,,,1.0,,,,,,,
486,,,,,,,,,,,,,
487,1.0,1.0,,,,1.0,,,,,,,
488,,,,1.0,1.0,,,,,1.0,1.0,,
490,,1.0,,,,,,,,,,,
491,,1.0,,,,,,,,,,,
492,,,,,,,,,,,,,
495,,,,,,,,,,,,,
497,1.0,,,,,1.0,,,,,,,1.0
499,,,,,,,,,,,,,
501,,,,,,,,,,,,,
502,,,,,,,,,,1.0,,,
506,,,,,1.0,,,1.0,,,,,
507,,1.0,,1.0,,1.0,1.0,,,,,,
508,1.0,,,1.0,,,,1.0,,,,,
509,,,,,,,,,,,,,
510,,,,,,,,,,,,,
513,,1.0,1.0,,,1.0,,,,,,,
514,,,,,,1.0,,,,,,,
515,,,,,,,,,,,,,
516,,,,,,,,,,,,,
518,,,,,,,,,,,,,
519,,,,,1.0,,,,,,,,
520,,,,,,,,,,,,,
521,,,,,,,1.0,,,1.0,,,
522,,,,,1.0,,,1.0,1.0,1.0,,,
523,,,,,,,,,,,,,
524,,,,,,1.0,1.0,,,,,,
525,,,,,,,,,,,,,
526,,1.0,,,,1.0,,,,,,,
528,,,,,,,1.0,,,,,,
530,,,,,,,,,,,,,
531,,,,,,,,,,,,,
533,1.0,1.0,,,1.0,,,,,,,,
534,,,,,,,,,1.0,,,,
535,,,,,,,,,1.0,,,,
536,,,,,,,1.0,,,,,,
538,,,,,,,,,1.0,,,,
540,,,,,,,,,,,,,
541,,,,,,,,,,,,,
542,,,,,,,,,,,,,
543,,1.0,,,,1.0,,,,,,,
545,,,,,,,,,,,,,
546,,,,,,1.0,,,1.0,,,,
547,,,,,,,,,,,,,
548,,,,,,,,,1.0,,,,
549,,,,,,,,,1.0,,,,
550,,1.0,,,,1.0,,,1.0,,,,
551,,,,,,,,,,,,,
553,1.0,,,,,,,,,,,,
554,,,,,,,,,,,,,
555,,,,,,,,,,,,,
556,,,,1.0,,,,,,,,,
557,,,,,,,,,,,,,
558,,1.0,,1.0,,,,,,,,,
560,,,,,,,,,,,,,
562,,,,,,,,,,,,,
563,,,,,,,,,,,,,
564,,,,,,,,,,,,,
565,,1.0,,,,,,,,,,,
566,,,,,,,,,,,,,
567,,,,,,,,,,,,,
569,,,,1.0,,,,,,1.0,1.0,,
570,,,,,,,,,,,,,
573,1.0,,,,,,,,,,,,
574,,,,,,,,,,,,,
575,1.0,1.0,,,,1.0,,,,,,,
576,,,,,,,,,1.0,,,,
579,,,,,,,,,,,,,
580,,,,,,,,,,,,,
583,,,,1.0,,,,,,,,,
584,,,,,,,,,,,,,
585,,,1.0,,,1.0,,,,,,,1.0
586,,,,,,,,,,,,,
587,1.0,,,,,1.0,1.0,,,,,,
588,,,,,,,,,,,,,
589,,1.0,,,,,,,,,,,
590,,,,,,,,,,,,,
591,,,,,,,,,,,,,
592,1.0,,,,,,,,,,,,
593,,1.0,,,,,,,,,,,
594,,,,,,1.0,,,,,,,
596,,,,,,,,,,,,,
597,,,,,,,,,,,,,
599,,1.0,,,,1.0,,,,,,,
600,,,,,,,,,,,,,
601,,,,,,,,,,,,,
602,1.0,1.0,,,,,,,,,,,
606,1.0,,,,,,,,,,,,
607,,,,,,,,,1.0,,,,
608,,1.0,,,,,,,,,,,
609,,,,,,1.0,,,1.0,,,,
611,,,,,,,,,,,,,
613,,,,,,,,1.0,,,,,
614,,1.0,,1.0,,1.0,,,,,,,
615,,,,,,,,,1.0,,,,
616,,,,,,1.0,,,,,,,
618,,,,,,,,,,,,,
619,,,,,,,,,,,,,
620,,,,,,,,,,,,,
621,1.0,,,,,,,,,,,,
622,,1.0,,,,,,,,,,,
623,,1.0,,,,1.0,,,,,,,
624,,,,,,,,,1.0,,,,
626,,,,,,,,,,,,,
628,,1.0,,,,1.0,,,,,,,
629,,,,,,,,,,,,,
630,,,,,,,,,,,,,
631,,1.0,,1.0,,,,,,,,,
632,1.0,1.0,,,,,,,,,,,
633,1.0,,,1.0,,,,,,,,,
634,1.0,1.0,,,,1.0,,,,,,,1.0
638,,,,,,,,,,,,,
639,,,,,,,,,,,,,
640,,,,,,,,,,,,,
642,,,,,,,,,,,,,
643,,1.0,1.0,,,1.0,1.0,,1.0,,,,
645,,,,,,,,,,,,,
646,,,,,,,,,,,,,
647,,,,,,,,,,,,,
651,,,,,,,,,,,,,
652,,,,,,,,,,,,,
654,,,,,,,,,,,,,
655,,,,,,,,,,,,,
656,,,,,,,,,,,,,
657,,,,,,,,,,,,,
659,,,,,,,,,,,,,
661,,1.0,1.0,,,1.0,1.0,,,,,,
662,,1.0,,,,1.0,1.0,,,,,,
663,,,,,,1.0,1.0,,,,,,
664,1.0,,,,,,,,,,,,
665,,,,,,,,,,,,,
666,,1.0,,,,,,,,,,,
667,,,,1.0,1.0,,,,,,,,
669,,1.0,,,1.0,,,1.0,1.0,,,,
670,,,,,,,,,,,,,
671,1.0,1.0,,,,,,,,,,,
672,,,,,,1.0,1.0,,,,,,
674,,,,,,,,,,,,,
675,,1.0,1.0,,,1.0,,,,,,,
676,,1.0,1.0,,,1.0,,,,,,,
677,,,,,,,,,,,,,
678,,,,,,,,,,,,,
679,,,,,,,,,,,,,
681,,1.0,,,,1.0,1.0,,,,,,
682,,,,,,,,,,,,,
685,,,,1.0,,,1.0,,,,,,
686,1.0,,,,,,,,,,,,
688,,,,,,,,,,,,,
689,1.0,,,1.0,,,,,1.0,,,,
691,,,,,,1.0,,,,,,,
692,1.0,1.0,,,,1.0,1.0,,,,,,
693,,,,,,,,,,,,,
694,,,,,,,,,,,,,
695,,,1.0,,,,,,,,,,
697,,,,,,,,,,,,,
699,,,,,,,,,,,,,
700,,,,,,,,,,1.0,,,
701,,,,,,,,,,,,,
704,1.0,1.0,,,,1.0,1.0,,,,,,
705,,,,,,,,,,,,,
706,,,,,,,,,1.0,,,,
708,,1.0,1.0,,,,,,,,,,
709,,,,,,1.0,1.0,,,,,,
710,,,1.0,,,1.0,,,,,,,
711,,,,,,,,,,,,,
712,,,,,,1.0,1.0,,,,,,
713,,,,,,,,,,,,,
714,,1.0,,,,1.0,1.0,,1.0,,,,
715,,,,,,1.0,,,,,,,
718,,,,,,,,,,,,,
719,,,,,,,,,,,,,
720,1.0,,,,,,,,,,,,1.0
721,1.0,,,,,,,,,,,,
722,,,,,1.0,,,1.0,,,,,
723,,,,,,,,,,,,,
725,,,,,,,,,,1.0,,,
726,,1.0,,,,,,,,,,,
727,,1.0,,,,,,,,,,,
728,,,,,,,,,,,,,
729,,,,,,1.0,1.0,,,,,,
730,,,,,,1.0,1.0,,,,,,
731,,,,,,1.0,,,,,,,
732,1.0,,,,,1.0,,,,,,,
733,,1.0,1.0,,,,,,,,,,
734,,,,,,,,,,,,,
735,,,,,,,,,,,,,
736,,1.0,,,,,,,,,,,
738,,,,,,1.0,1.0,,,,,,
739,,,,,,,,,,,,,
740,,,,,,1.0,1.0,,,,,,
742,1.0,,,,,,,,,,,,1.0
743,,,,,,,,,,,,,
744,,,,,,,,,1.0,,,,
746,,1.0,,,,1.0,,,,,,,
747,,,,,,,,,,,,,
749,,,,,,,,,,,,,
750,,,,,,,,,,,,,
751,1.0,,,,,,,,,,,,
753,1.0,,,,,,,,,,,,
754,1.0,,,,,,,,,,,,
755,,,,,,,,,1.0,,,,
756,,,,,,1.0,,1.0,1.0,1.0,,,
758,1.0,,,,,,,,,,,,
759,,1.0,,,,1.0,1.0,,,,,,
760,1.0,1.0,1.0,,,1.0,,,,1.0,,,
761,,1.0,,,,1.0,,,,,,,
762,,1.0,,,,1.0,1.0,,1.0,,,,
763,1.0,,,,,,,,,,,,1.0
764,,,,,,1.0,,,,,,,
766,,,1.0,,,1.0,,,,,,,
767,1.0,,,,,1.0,,,,,,,
768,,,,,,,,,,,,,
769,,1.0,1.0,,,1.0,,,,,,,
770,,,,,,,1.0,,,,,,
771,1.0,,,,,,,,,,,,
772,,,,,,,,,,,,,
773,,1.0,,,,1.0,,,1.0,,,,
774,,,,,,,,,,,,,
775,,1.0,,,,1.0,,,1.0,,,,
777,,,,,,,,,,,,,
778,,,,,,,,,,,,,
780,,,,,,,,,,,,,
781,,1.0,,,,1.0,,,,,,,
782,,,,,,,,,,,,,
784,,1.0,1.0,,,1.0,1.0,,1.0,,,,
785,,1.0,,,,1.0,1.0,,,,,,1.0
786,,,,,,,,,,1.0,,,
787,,1.0,,1.0,,1.0,,,,,,,
788,,1.0,,,,,,,,,,,
790,,,,,,,,,,,,,
791,,,,,,,,,,,,,
794,,,,,,,,,,,,,
795,,,,,,,,,,,,,
797,,,,,,,,,,,,,
798,,,,,,,,,,,,,
799,1.0,1.0,,,,1.0,1.0,,1.0,,,,
800,,,,1.0,,,,,1.0,,,,
801,,,,,,,,,,,,,
802,,1.0,,,,,,,,,,,
804,,,,,,,,,,,,,
805,,1.0,,,,1.0,,1.0,,,,,
806,,,,,,,,,,,,,
807,,,,,,1.0,1.0,,,,,,
808,,1.0,,,,1.0,,,,,,,
809,,,,,,,,,,,,,
810,1.0,,,,,,,,,,,,
811,,,,,,,,,,,,,
812,,1.0,,,,,,,,,,,
814,1.0,,,,,,,,,,,,1.0
816,,,,,,,,,,,,,
817,,,,,,,,,,,,,
818,,,,,,1.0,,,1.0,,,,
820,,1.0,,,,,,,1.0,,,,
821,,,,,,,,,,,,,
822,,,,,,,,,,,,,
823,,1.0,,,,1.0,1.0,,,,,,
826,,,,,,,,,,,,,
828,,,,,,,,,,,,,
829,,,,,,,,,,,,,
831,,,,,,,,,,,,,
832,,,,,,,,,,,,,
834,,,,,,,,,,,,,
835,,,,,,,,,,,,,
838,,1.0,,,,1.0,,,1.0,,,,
839,,,1.0,,,,,,,,,,
840,,1.0,,,,,,,,,,,
841,,,,,1.0,,,1.0,,,,,
842,,,,,,,,,,1.0,,,
843,1.0,,,,,,,,,,,,
845,,,,,,,,,,,,,
847,,,,,,,,,,,,,
848,,,1.0,1.0,1.0,,,,,,,,
850,,1.0,,,,,1.0,,,,,,
851,,,,,,1.0,,,,,,,
852,1.0,,,,,1.0,,,,,,,
853,,,,,,,,,,,,,
854,,,,,,1.0,1.0,,,,,,
856,,,,,,,,,,,,,
857,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,
860,,1.0,,,,,,,,,,,
861,,,,,,,1.0,,,,,,
862,,,,,,,,,,,,,
863,,,,,,,,,,,,,
865,,,,,,1.0,,,,,,,
868,,,,,,1.0,,,,,,,
869,,,,,,1.0,1.0,,,,,,
872,,,,,,,,,,,,,
873,,,,,,,,,,,,,
874,1.0,,,,,,,,,,,,
876,,,,,,,,,,,,,
879,,1.0,,,,1.0,,,,,,,
881,,,,,,,,,,,,,
882,1.0,1.0,,,,1.0,,,,,,,
883,,,,1.0,,,,,,,,,
884,,,,,,,,1.0,,,,,
885,,,,,,,,,,,,,
887,,,,,1.0,,,,,,,,
890,1.0,1.0,,,,,,,,,,,
892,,,,,,,1.0,,,,,,
895,,,,,,,,,,,,,
896,1.0,1.0,,,,,,,,,,,
897,,,,,,,,,,,,,
898,1.0,,,,,,,,,,,,
900,,,,,,,,,,,,,
902,,,,,,,,,,,,,
903,,,,,,,,,,,,,
904,,,,,,,,,,,,,
905,,,,,,1.0,,,,,,,
906,,,,,,,,,,,,,
907,,,,1.0,,1.0,1.0,,,,,,
908,,,,,,,,,,,,,
909,,1.0,,,,1.0,,,,,,,
910,,,,,,,,,,,,,
912,,,,,,,,,,,,,
913,,1.0,,,,,,,1.0,,,,
916,,,,,,,,,,,,,
922,1.0,,,,,,,,,,,,
923,,,,,,,,,,,,,
924,,,,,,,1.0,,,,,,
925,,,,,,,,,,,,,
926,,,,,,,,,,,,,
927,1.0,1.0,,,,,1.0,,,,,,
928,,1.0,,,,1.0,1.0,,,,,,
929,,,,,,,,,,,,,
930,,,,,,,,,,,,,
931,,1.0,,,,1.0,1.0,,,,,,
932,,,,,,,,,,,,,
933,1.0,,,1.0,,,1.0,,,1.0,,,1.0
934,,,,,,,,,,,,,
935,,,,,,,,,,,,,
936,,,,,,,,,,1.0,,,
937,1.0,,,,,,,,,,,,
939,,,,,,,,,,,,,
940,,1.0,,,,1.0,1.0,,1.0,,,,
941,1.0,,,,,,,,,,,,
942,1.0,,,,,1.0,,,,,,,1.0
943,1.0,1.0,1.0,,,1.0,1.0,,,,,,1.0
944,,1.0,,,,1.0,1.0,,,,,,
946,1.0,1.0,,,,,,,1.0,,,,
947,1.0,1.0,,,,1.0,,,,,,,
948,,,,,,,,,,,,,
949,,,,,,,,,,,,,
951,,,,,,,,,,,,,
952,,,,,,,,1.0,,,,,
954,,,,,,,,,,,,,
955,,,,,,,,,,,,,
957,,,,,,,,1.0,,,,,
958,,,,,,,,,,,,,
961,,,,,,,,,,,,,
962,,1.0,,,,,,,,,,,
963,,,,,,,,,,,,,
964,1.0,1.0,,,,1.0,,,,,,,
966,,,,,,,,,,,,,
967,,,,,,,,,,,,,1.0
968,,,1.0,,,,,,,,,,
969,,,,,,,,,,,,,
971,,,,,,,,,,,,,
972,,,,,,,,,,,,,
974,,,,,,,,,,,,,
975,,,,,,,,,,,,,
980,,,,,,,,,,,,,
981,,,,,,,,,,,,,
983,,,,,,,,,,,,,
984,,,,,,1.0,1.0,,,,,,
986,,,,,1.0,,,,1.0,,,,
988,1.0,,,,,,,,,,,,
990,,,,,,,,,,,,,
991,1.0,,,,,,,,,,,,
997,,,,,,1.0,1.0,,,,,,
998,,,,,,,,,,,,,
999,,,,,,,,,,,,,
1000,,1.0,,,,1.0,1.0,,,,,,
1001,,,,,,,,,,,,,
1006,,,,,,,,,,,,,
1007,,,,,,,,,,,,,
1008,,,,,,,,,,,,,
1009,,1.0,,,,,,,,,,,
1010,,,,,,1.0,,,,,,,
1011,,,,,,,,,,,,,
1013,,,,,,,,,,,,,
1015,,,,,,,,,,,,,
1016,,,,,,,1.0,,,,,,
1018,,,,1.0,,,,1.0,,,,,
1020,1.0,,,,,,,,,,,,
1021,,,,,,1.0,,,,,,,
1023,,,,,,,,,,,,,
1024,1.0,1.0,,,,,,,1.0,,,,
1025,,,,,,1.0,1.0,,,,,,
1027,,1.0,,,,,,,1.0,,,,
1028,,1.0,,,,,,,,,,,
1030,,,,1.0,,,,,,,,,
1032,,,,,,,,,,,,,
1033,,,,,,,,,,,,,
1034,,,,,1.0,,,,,,,,
1035,,,,,,,,,,,,,
1036,1.0,,,,,,,,,,,,
1037,,,,,,,,,,,,,
1038,1.0,,,,,,,,1.0,,,,
1039,,,,,,,,,1.0,,,,
1040,,,,,,,,,,,,,
1041,,,,,,,1.0,,,,,,
1042,,1.0,,,,,,,,,,,
1044,1.0,,,,,,,,,,,,
1045,,,,,,,,,,,,,
1047,,,,,,,,,,,,,
1050,,,,,,,,,,,,,
1051,,,,,,,,,,,,,
1053,1.0,,,,,1.0,1.0,,,,,,
1054,,,,,,,,,,,,,
1056,,,,,,,,,,1.0,,,
1057,,,,,,,,,1.0,,,,
1058,,,,,,,,,,,,,
1059,,,,,,,,,,,,,
1060,1.0,,,,,,,,,,,,
1061,,1.0,,,,1.0,,,,,,,
1062,,,,,,,,,,,,,
1063,,,,,,,,,,,,,
1065,,,,1.0,,,,,,,,,
1067,,,,,,,,,,,,,
1070,,,,,,,,,,,,,
1071,,,,,,,,,1.0,,,,
