,Network Engineer,Full stack,QA/Test Developer,Enterprise application,DevOps,Mobile Developer,Back End,Database Administrator(DBA),Front End,Game developer,System Administrator,Data Scientist,Business analyst,Sales professional,Product Manager,Information Security,Software Developer/Java Developer,Web Developer,Cloud Computing
d1130a38c05cd6f6df40a2636a76ea5b,,,,,,,,,,,,,,,,,1.0,,
8cb4914f42c5b805d19be0952b3c88e9,,,,,,,,,,,,,,,,,1.0,,
8c50099ba0e24e089c12c6e68bb2bdc6,,,,,,,,,,,,,1.0,,,,,,
d6920e2979999da6d892774e2be97b75,,,,0.1259623034704312,,,,0.12833186276243327,0.1346297620079448,,0.12863008499124026,,,0.13637761447163305,0.12428072705521359,0.22178764524110386,,,
72e40fa6a09e015785a798433af77387,,,1.0,,,,,,,,,,,,,,,,
47d7528160f4860a7bfd6dc1b9cdefb8,,,,,,,,,,,1.0,,,,,,,,
065002d37b05ad5fa6478b709b94a3a4,,,,,,,,,,,,,,,,,1.0,,
b2db6c4923a59708ff6c562b08c23c73,0.3462700614339699,,,0.226666561402535,,,0.2123880868482212,,,,0.21467529031527394,,,,,,,,
d997f70cf7082ec18ffbb3e7c382001c,,,,,,,,,,,,,,,1.0,,,,
6dcbe83bd781f1e952da56ed2dd9ccf9,,,,,,,,,,,,,1.0,,,,,,
518be0d63a29128230c7c13be225837d,,,,,,,,1.0,,,,,,,,,,,
c199a61bd8a4e16896e15bf0613bf010,,,,,,,,,,,,,,,,,1.0,,
0352f0af94edb563fdee80a14965ea1d,,,,,,,,,,,,,1.0,,,,,,
f91cae11b0c8eaf832880a328fbabbcf,,,,,,,,,,,,,,,,,,1.0,
b9520049ff3e799ec368ae0aa99ec5f5,,1.0,,,,,,,,,,,,,,,,,
353f9ce7cb7c0090fd8880b0e9bf5809,,,,,,,,,,,,,1.0,,,,,,
cca81977309f3d52de5201432a1a98c4,,,,,,,,0.1904857491482126,,,,,,,0.40158722438081884,,0.20378719733956524,,0.20413982913140327
755688570dda03850c9ea9974e241110,,1.0,,,,,,,,,,,,,,,,,
c099a6dd457ab308941333b4d9517485,,,,,,,,,,,1.0,,,,,,,,
f5ce47ef55f66c279c306ceeb5e3f01e,,,,,,,,0.5937419528497127,,,,,,,,0.4062580471502873,,,
4a1af0cd8f6301771b95b019e6e2407d,,,,,,,,,,,,,,,,,1.0,,
763586f789e0154f6d71435112f4c502,,,,,,0.17152251111242967,,0.17215546760746986,,0.16264550845792225,,,,,,,0.3283527114393486,,0.1653238013828297
d17149d5daf1df1d0953dbb583c0046c,1.0,,,,,,,,,,,,,,,,,,
510481dba5a43cc2b77546f0dadb1ce4,,,,,,,,,,,,,1.0,,,,,,
4117b81407f66d5b3c952ba4c4c05134,0.13211082061895635,,,,,,,0.13025272135147692,,,,0.12338484019465529,0.12511542518670016,,0.24375896274013303,,0.12004056131058435,0.12533666859749404,
e2cda2407a766008f5274da2cbdfa5b7,0.17415306529948246,,,,,,,0.28629126146454853,,,0.18359218325018184,,,0.17733983710470008,,,0.17862365288108714,,
c0eb27f26c6b084b018bd58b564e5594,,,,,,,,,,,,,1.0,,,,,,
c85fced1185e67071d928267f818dbdc,,,,,,,,,,,,,1.0,,,,,,
ac1430c579f95891ae05d2edb3f5e035,0.13001698351248117,,,,,,0.13209594590968018,,,,0.13282786240552633,0.2133073218269616,0.12792706498657178,,0.13504706784624257,,,0.1287777535125363,
75296a05c107731f400d602f3e10bf47,0.5916466020907237,,,,,,,,,,,,,,,0.40835339790927627,,,
c6f99f38bf465487323ed9d46f19514d,,,,,,,,,,,,,,,,,1.0,,
4c8b7a93f5707a08b538f4e79d6a7f30,,0.17826468793994063,,0.1722268182561527,,,0.3026940070250526,,,,0.17374384630863293,,,,0.1730706404702211,,,,
f98f36687091e2aa5d3db5ab86c4d193,,,,,,,,,,,,,,,1.0,,,,
1f20cc46a1df5eb235007fac5fa0cbf4,,,,,,0.5960800747835859,,,,,,,,,,0.40391992521641407,,,
8887c268f3a00f280f0eb3e935fcf923,,,,,,,,,,,,,,,,,1.0,,
8d0ffe9061aa61fbd3fdfae28fa9e2b9,,,,,,,,,,,,,1.0,,,,,,
f374dd196ee3775c05ceedce840fe3d7,,,,,,,,,,,,,,,,,1.0,,
a6b2f856cc76dbcd75d70c8a9b54b86f,,,,,,,,,,,,,,,1.0,,,,
cf0df595863e244496a08540809e638a,0.3584549470197845,,,0.21018208095947846,,,,,0.21726247970797535,,,,,,0.2141004923127617,,,,
3071e1d037c43c96e63d87b7f798904c,,,,0.21423905757522885,,,0.2227486770000417,,,,,,0.3438798355751861,0.21913242984954331,,,,,
3142c2dd6924df52d463d81ef93fb6e4,,,0.34040332307191795,0.21509451639086424,,,0.22129230220860752,,,,,,,0.22320985832861034,,,,,
aed2f48a108a9d39c3466961ebf147a2,,,,,,,,,,,,,1.0,,,,,,
8d9f35371d34b3482a6a9a515c286329,,,1.0,,,,,,,,,,,,,,,,
a5b5889aaa3b7423cdc68643ab6cfea5,,,,,,,,,,,,,,,,,,1.0,
932052b301bed380d5a8db22d8b9fed2,0.1956498949108678,0.11329089337662587,,,,,0.11925179376071153,,0.11259116285627799,,0.1158947333451261,,,,0.1140617351375597,,0.1150199413098112,0.11423984530301991,
6d08f3e06ba1695f905754f971f0397e,0.33048865581732373,,,,,,0.2258745980051814,,,,,,,0.21797441718029428,,0.22566232899720062,,,
5fe3df4506a6b388f0b18dfedb0702bb,0.2187183442326687,,,0.22027198579320384,,,,,,,,,,,,0.23087113404992682,,,0.33013853592420067
ccf473b4784aca69a88b36870d6301cf,,,,,,,,,,,1.0,,,,,,,,
2c6742531c25a158afc6eca882ced60b,,,,,,,,,,,,,0.5724642663955871,,,0.4275357336044129,,,
0419d5288baa0e5a8043c674cd8562ca,,,,,,,,,,,,,,,,,1.0,,
3415841a9ac7c931ed8709e9f30adb29,,,,0.27187669497414124,,,,,,,0.4526052592071831,,,,0.27551804581867556,,,,
bd4eee9b197c066d9bff44452452c5b1,,0.16979894429097975,,0.18259055589181872,,,,,,,0.17385648171398885,,,0.2948962774339405,0.17885774066927215,,,,
2594d75ad80e28e32af0ff6053396e2d,,,,,,,,,,,,,,,,,1.0,,
0bed3d9c4ed99d5cc1a2649f59bc2896,,,0.1413893560016081,,,0.14698455234791133,,,,0.13877924532696764,,,0.14822425709618506,,,,0.27904410364244425,,0.1455784855848836
d261e7210cd7aba0cac951c7340c5e67,1.0,,,,,,,,,,,,,,,,,,
a560c9c03ec3eb3dbf9fa881303fdf48,,,,,,,,,0.21457172638680236,,,,,0.22611822955010888,0.33424095254291364,0.22506909152017512,,,
0445fcb37ab17f686c025da15a98de52,,0.16653083142588232,,0.18062037080087381,,,,,,,0.17508707989594013,,0.30178038533697743,,0.17598133254032636,,,,
f3454168b74bc184e99b6d328970c16d,,,,0.5883065764782688,,,,,,,,,,,,0.4116934235217312,,,
ad80588c56547cfcfc00e9080cce9920,,,,0.3985401785890015,,,,,,,,,,,,0.6014598214109986,,,
eccbb9e529cc7fabd4418b8a3ef96645,0.12456992894796298,0.1251366386179622,,0.22906154116017088,,,,,,,0.13455545081430562,,0.12568710932962865,,0.13476728045629272,,,0.12622205067367687,
7ebf4eea453a27d76815cea1034737e1,0.2206311064885022,,,,,,,,,,0.3456616091231533,,,0.21862817224656114,0.2150791121417833,,,,
9f504454ca89f3fb54c4cdb79ef345de,,,,,,,,,,,,,,,,,1.0,,
24bd02f09d529e25eccbbd4b4a74945c,,,,,,,,,,,,,,,,,1.0,,
335bd5f1bb549c9d32372a43516249fe,,0.17903032661903553,,,,,0.1960216431594768,0.4393727005183987,,,,,,,,,0.18557532970308896,,
12f3cf7b841e50a75d7fa547cedc27a6,0.61106878190656,,,,,,,,0.38893121809343995,,,,,,,,,,
b973f9625d5a239be48b37dad4a83eac,,,,,,,,,,,,,,,,,1.0,,
bf4e39a7ae0a31857cdeb706ea07b591,,,,,,,,,,,,,,,,,,1.0,
fe8b8c33442b7005d0734506fd152824,,,,0.18309309344140595,,0.2781732313005682,0.17738945351591795,,,,,,,0.18511123474120716,0.1762329870009008,,,,
f29766ad198b67aa7686ea3737951f12,,0.36919153540206073,,,,,,0.6308084645979392,,,,,,,,,,,
4a737efc3dd5fe84a532e94b609ee484,,,,,,,0.22097055113509895,,,,,,,0.2250903373223345,,0.22475759581083596,0.32918151573173066,,
148fb772d5a224a477904b6194199b2e,,1.0,,,,,,,,,,,,,,,,,
0d92b51b694ef046360f989fa92a15ac,,,,,,,0.41405485015265314,,,,,,,,0.5859451498473468,,,,
aefcb0c109264e00e724ef9eb004a699,,,,,,,,0.16287696217950698,0.33506657236392495,,,0.17114652924652562,0.16435838790279117,,,,,0.1665515483072512,
6bdcbb05eca933606a2301a8be7fa4cd,,,,,,,,,,,,,,,,1.0,,,
95a6252635b88c0991306754335760f4,0.17723740010982453,,,,,,0.17616027972926754,0.28399594406214784,,,0.1855340745404213,,,,0.17707230155833878,,,,
e8c6430b31684c8f6ceab1305ca61888,,,0.23946367210086048,0.5102497997624519,,,,,,0.25028652813668767,,,,,,,,,
9c1dae8f8326ff44336cbc65c4145524,,0.17572793746580032,,0.1788356258946066,,,,,,,0.1729964794345216,,,,0.1771517121792182,,0.2952882450258533,,
fe9741051b3a8971f4a1156b07ece236,,,,,,,,,,,,,1.0,,,,,,
f11d03f84c0ba0db510a05de0afd10b9,,,,,,,,,,,,,,,,,1.0,,
b5cea5202dd6f195c55dbc7b90892768,,,,,,,,,,,,,,,,,1.0,,
bb39139fe34f98132e057d2bc5f27ffc,,,,,,,0.27485026051677036,,,,,,0.4455282789277459,0.2796214605554838,,,,,
0b6f00a94e0790f2ddf471e21515e30a,,,,,,,,,,,,,,,,,1.0,,
1d0397ad94837965dd86a508020ee2a4,,,,,,,,,,,,,,,1.0,,,,
4f1a45d7883fa5b946024825f141955b,,,0.13102330083244604,,,0.14527978533851238,,,,0.14192061983372337,,,,,,0.30471006596775396,0.14106007688802813,,0.1360061511395361
e140cb3a2388dc9b0d1b1641ba2c71fc,,,0.5899700930897901,,,,,,,,,,,,,0.4100299069102099,,,
2c519dfe62470c6632c25ec8a75ab950,,,,,,,,,,,,,1.0,,,,,,
af5361a430987d770572e81ca3605fe3,0.28933291821620316,,,0.18040203935298657,,,,,0.17914306437604294,,0.17416785561323717,,,,0.17695412244153014,,,,
ac9366a5da02aef3cf6e724fd4eef28b,,,,,,,0.2890805609484864,,,,,,,,,0.2837118735073756,0.427207565544138,,
4d957ab0fc7d7379fe1a2bd824be9414,0.1628680069069655,,,0.17793885232754006,,,,0.311312419832373,,,0.17333444657595942,,,,0.17454627435716194,,,,
4630a1e50e7e85a4364bfd6ccc65edda,,,,,,0.1665020462393779,,0.16133672765416307,,,,0.17573932210116314,0.33678013089503656,,,,0.15964177311025934,,
43d4546d3a9420c6144572edf5a25b97,,,,0.2168530852839646,,,0.22824084439969713,,0.21360560120283711,,,,,,,,0.3413004691135011,,
2ab6d749f9edbd1dd2a74fda8cd9589d,,,,,,,0.2901353793658329,,0.2713790082947013,,,,,,0.4384856123394659,,,,
24df038b48c96e11443e21146219995f,,,,,,,,,,,,,,,,1.0,,,
8259843f5e9f112894e7b1ee769c0a91,,,,,,,0.2813760098978908,,0.26748872524746736,,,,,0.4511352648546419,,,,,
406f7489221ceda7333b009e4797cd74,,,,,,,,,,,,,1.0,,,,,,
cbc53680c3051893bc8cd1d2071428a5,,,,,,,,,,,,,,,1.0,,,,
a639481ec469f96658393d1836df6f0f,,,,,,1.0,,,,,,,,,,,,,
16bc503453500d45ee411c5ea3a4074b,,,,1.0,,,,,,,,,,,,,,,
d831dd7060f590de3da30c6327f701f4,,,,,,,,,,,,,,,,1.0,,,
648b516bcb9617af02dc08c9a4a17c6e,,,,,,,,,,,,,,,,,1.0,,
db89add7e8f0b9fe3a11658e772cf158,,,,,,,,,,,,,1.0,,,,,,
0796f7ecf53db6612b831449b844533d,,,,,,,,,,,,,,,1.0,,,,
a1e1bd1243cdd15a3219e0edc8a93131,,,,,,,,,,,,1.0,,,,,,,
b86b83afb4564fd65a984ed9b78248c3,1.0,,,,,,,,,,,,,,,,,,
75b835ecdf3ffc91f3a65969554d88b0,,,,,,1.0,,,,,,,,,,,,,
7f3086ce0521d3915c1bca5573ea22bb,0.29317537877255384,,,0.1855797602989641,,,0.1715839552612957,,,,0.17276158434674724,,,,0.17689932132043917,,,,
55b42f5cc49e2f719cb11676f9ffa503,0.33236131012141734,,,,,,0.21336094889421933,,,,,,,0.2229308052553865,,0.23134693572897674,,,
3bb430a924c66eda4d5546ac2ff19b71,,,,,,,,,,,,,,,,,1.0,,
a1c9654b6cb38543e0c8198221a8b1eb,1.0,,,,,,,,,,,,,,,,,,
5c2fde27d7d26d873746b0998d88172f,,,,,,,,,,,1.0,,,,,,,,
511b78326c4d241a99c0c2a2f703b10b,1.0,,,,,,,,,,,,,,,,,,
f3950f031d1e12aefb4eb962e6f3702c,,,,,,,,,,,,,,,,,1.0,,
77c55cb4c54b1aadf1bbbfd792b3bbdd,,,,,,,,,,,,,,,,,,1.0,
c0ff80f6ad339715af9f7ada7b698987,1.0,,,,,,,,,,,,,,,,,,
2dfc17124af1d8001af605fa1d341603,,,,0.21968237788166756,,,,,,,,,,0.22382027020802794,,0.22468553580439196,,0.33181181610591254,
65db5d632398b8634299ba76ea09e0cb,,,,,,,0.27172508124900135,,,,,,,,,0.28836057963841066,0.439914339112588,,
d731c8701123fe90c348210ea60f163c,,,,,,,,,,,0.6168271672732552,,,0.3831728327267448,,,,,
2e0188c3adbef6655b74beb8c590f7e1,,,,,,,0.6281298220716816,,,,,,,,,0.3718701779283185,,,
5aada0ef4a56a998abeb675eca9409c5,,,,,,1.0,,,,,,,,,,,,,
996e6c890fba8fc4095a8e14246f8144,,,,,,,,,,,,,,,,,1.0,,
52534f906a523c5b0efb52230d1a4088,0.15249113177943477,0.14459702494032056,,,,,,,0.15343213680766554,,0.2507611121136467,,,,0.15515325584073353,,,0.1435653385181989,
b5f44ad539b7c45ffa36f73b107f68b6,,,,,,0.12107556391769722,,0.12392181463752425,,,0.23747611394515133,0.13150902371450612,0.13293401649786912,,,,0.12302729554081186,0.13005617174643994,
f029da40ad734517416361dfb5c36c74,,,,,,,,,,,,,1.0,,,,,,
de9a28799ed77e88afb33fbbba78510c,,,,,,,,,,,,,,,,1.0,,,
9ea77a372b329544620d6a9e21146cdf,,0.14527135498923266,0.2537594927486637,0.1536678261405429,,,,,,,0.14285965352874644,,,,0.15423700473969795,,,0.15020466785311637,
4cb789a11c0af058946fa01124a53741,,,,,,,,,,,,,,,,,1.0,,
d567b8665c22d38e071884dbea84c067,,,,,,,,,,,,,1.0,,,,,,
01084cdc864fbf29a80def0c911944d6,,0.13291337064414688,,,,0.12301757691176687,,0.12695336994404913,,,,0.12575324465100632,0.12730493684195715,,,,0.22975759189767656,0.13429990910939704,
0e8adf677740570cd0a97232673fa3eb,,0.17157262717949515,,,,,,,,,0.3134384100008331,0.17099987052922408,0.17446320970190635,,,,,0.1695258825885414,
e383459f6086249b588f5a4c6f5622a8,1.0,,,,,,,,,,,,,,,,,,
51fb54d1436e6e04819db57721b35f31,,,,,,,,,,,,,1.0,,,,,,
bd345f1d96978869f50d0c898f0f0731,,,,,,,,0.14005140837311464,,,,0.1429280021244554,0.14439209817483334,,0.15510017662105444,,0.2697284422403247,0.14779987246621748,
34fd637e82f441006cccd86f44e5ffdb,,,,,,,,,,,,,,,,,,,1.0
0ac290ffb8cb0f1549f36b70ac024612,0.42669352692189305,,,,,,,,,,,,,0.2849847885936619,,0.2883216844844452,,,
5563ac52766cc5801438e927d2479f68,,,,,,,,,,,,,,,,0.39268386587057197,0.6073161341294281,,
917b09a0761eb8d5763a74c25bedb612,0.13177097923944758,,,,,0.12258339667999275,,0.12711556108137068,,0.12210669675004236,,0.12716369775979508,0.1266868730355197,,,,0.24257279545383192,,
5a1fe7107acb246f2c40cf92abade24d,,,,,,,,,,,,,,,,0.4112126573083647,0.5887873426916354,,
54d4e9ad597c1e24631b29ab2580a257,,,,,,,,,0.4007364528427812,,,,,,0.5992635471572187,,,,
4e8a8c11ff137e10f66b823776b0b732,,,,,,,,0.336510194221311,0.2218185269954616,,,,,0.22307132972589808,,0.21859994905732927,,,
01d808bf998d22cf8a743c46dd855455,0.17187487367400675,0.17537144762995094,,,,,,0.31665141749767206,,,,,0.17135037133218495,,,,,0.1647518898661852,
12b6b02d3498a1d0432d9669a50087ef,,,,,,,,,,,,,,,1.0,,,,
fe7cc689ea33768c455e9d3005d6e70a,,,0.2857178983389268,0.1777441222274432,,,0.1839767904709608,,0.17246077275706007,,,,,0.1801004162056091,,,,,
7fd3441f67f66c3406e538ab337f1a66,,0.17613351305368488,,,,,,,,,,0.1659473694425822,0.1748472275394975,0.31699168163449304,,,,0.16608020832974232,
713931543d0ec81e0e09d498b7258164,,,,0.22214417689286942,,,,,,,0.211462796975061,,0.3565707952982291,,0.20982223083384044,,,,
f7fac0c163a247d4f85c04e3dc823a7e,,,,0.22436747581327715,,,0.22055605746711235,,,,,,,0.34226790299991733,0.21280856371969328,,,,
944b5c7a30ac3205648337bf52d79657,0.5930279868494905,,,0.4069720131505094,,,,,,,,,,,,,,,
1cd8a8e16df7f74f021ac3a17f37c478,1.0,,,,,,,,,,,,,,,,,,
245c26842e68114ae5703710e22f1fe9,,,,0.27953712644478296,,,,,0.27604863177429645,,,,,,,,,0.4444142417809207,
83548a991cd299badd6642bc5da5ff64,,,,,,,,0.41953126918801953,,,,,,0.2893899944095306,,0.29107873640244974,,,
abb872ceb40ff7036881d36c5b996b96,,,0.15171466864846195,,,,,,,0.1647453815678611,,,,0.3535812441027777,,,0.17086752806007868,,0.15909117762082067
f1eeb91c6aec57493384d873316ad707,0.11201176155002218,,,,,0.11045673395003798,,0.11074528700448491,,,0.11812461119151872,,,0.11836247479028679,0.12091257022899368,,0.1898716939751707,0.11951486730948499,
40855bceaa4b025a4cf4c68a664b8a73,,,,,,,0.39206638035365654,,,,,,,0.6079336196463435,,,,,
e3cd231f363ff952d50371d05e3d72d9,,,,0.2278744202548826,,,,,,,,,,0.21875761937557767,,0.22906860793728134,0.3242993524322584,,
a1dc0b59350138201f95a68123c2b473,,,,,,,,,,,,,,0.2884593634908943,0.4198617640629525,0.29167887244615315,,,
a33ad5c41d62bcf3eacb325b86e649d2,0.1281643197277654,0.1243640817975944,,0.22226349251899813,,,,,0.1333491576275166,,0.13343514338389809,,,,0.1334389947609381,,,0.12498481018328933,
ab2ad69ba0515f2dc76f1f466e7b866c,0.13379926052800395,,,,,,,0.12088215154805762,,,,0.12400543331783807,0.1271876105959115,0.23724233634899708,,,0.12440503370813505,0.13247817395305683,
ac21d5dbf48b813db9838a7af85e99eb,1.0,,,,,,,,,,,,,,,,,,
ed24218723ead3518031c9691a93198d,,,,0.33797063816647355,,,0.22608379109125046,,0.2122590969475112,,,,,0.22368647379476472,,,,,
6c89f2383d72d219f2de3cd6c74b6e4e,,,,1.0,,,,,,,,,,,,,,,
